idannonce,cp,ville,codeinsee,descriptif_fr,px,surface,annee_construct,nb_pieces,latitude,longitude,city_name,city_id,districts_id,city_code_insee_sl,districts_name,region_id,min_px,max_px,min_surface,max_surface,min_nbpiece,max_nbpiece,groups,len_group
152917265,38100,Grenoble,380185.0,grenoble allee de la pelouse en bordure du parc jean verlac dans immeuble ravalee agreable pieces cuisine de m au eme etage avec ascenseur cet appartement expose sud ouest possede une cuisine equipee semi ouverte sur le sejour donnant sur une loggia fermee sur parc chambres degagement avec placards dressing parking prive couvert en sous sol le bien possede des menuiserie en double vitrage pvc et aluminium porte blindee le tableau electrique a ete refait en transport bus et tramway quartier allee de la pelouse immeuble ravale en ce que nous aimons sa luminosite son agencement bien soumis au statut de la copropriete non charges courantes annuelles de copropriete euros procedure en cours sur la copropriete non dpe d pour decouvrir cette reelle opportunite d acquisition contactez moi cedric morey agda andreolety avenue jean jaures eybens nos honoraires ,88000.0,80.08,,4.0,45.162621,5.736468,Grenoble,15869.0,41645.0,380185.0,Arlequin,252,83600.0,92400.0,76.076,84.084,3.0,5.0,"[154661865, 151927233, 151927251, 131612729, 152715315, 154106701, 137918345, 152656465, 154105923]",9
151210099,38100,Grenoble,380185.0,era immobilier gresivaudan a trouve pour vous ce t de m dans un immeuble securise ideal pour se loger proche du centre ville et des commerces lumineux et traversant avec balcons pas de travaux a prevoir compose de chambres salon sejour plein sud cuisine equipee salle d eau avec douche chauffage individuel au gaz possibilite de garage en sus a visiter rapidement christian jourdan dont honoraires ttc a la charge de l acquereur copropriete de lots pas de procedure en cours charges annuelles euros ,158970.0,70.0,1960.0,3.0,45.180660247803004,5.737112998961999,Grenoble,15869.0,41643.0,380185.0,Allies-Clos d'Or,252,151021.5,166918.5,66.5,73.5,2.0,4.0,"[154138775, 150604827, 152178193, 138237015, 147405143, 147897763, 153006405, 142827435, 145299099, 151941805, 146523383, 154105037, 147118175, 154106625]",14
150907823,38130,Échirolles,380151.0,iad france sophie armand vous propose echirolles secteur calme proche cours jean jaures la ponatiere appartement t m environ sejour double cuisine ch balcon cave et garage venez decouvrir cet appartement tres lumineux compose d un sejour double sol parquet chene acces sur balcon d une cuisine equipee chambres dont une avec rangement une salle d eau et un toilette independant une cave et un garage box ferme avec electricite facade isolation volet et radiateur je reste a votre disposition pour organiser votre visite la presente annonce immobiliere vise lot principal situe dans une copropriete formant lots au total ne faisant l objet d aucune procedure en cours et d un montant de charges d environ euros par mois soit euros annuel declare par le vendeur honoraires d agence a la charge du vendeur information d affichage energetique sur ce bien dpe e indice et ges c indice la presente annonce immobiliere a ete redigee sous la responsabilite editoriale de mlle sophie armand id agent commercial mandataire en immobilier immatricule au registre special des agents commerciaux rsac du tribunal de commerce de lyon sous le numero ,125000.0,63.0,1970.0,4.0,45.147226,5.704711,Échirolles,15838.0,41619.0,380151.0,Comboire,252,118750.0,131250.0,59.849999999999994,66.15,3.0,5.0,"[147619281, 153267117, 151856983, 151785547, 148227933, 150278129, 152595879, 153083885, 147656643, 153329465, 149181811, 154104541, 154767427, 154223735, 152288085, 154105875]",16
148550245,38000,Grenoble,380185.0,appartement residence etudiante marie curie de m environ loue avec un loyer annuel garanti de euros ht un bail commercial avec un gestionnaire de qualite reside etudes la fiscalite est en lmnp cette residence etudiante rue felix esclangon a grenoble est proche de plusieurs grandes ecoles inpg gem du lycee international de grenoble elle est egalement a proximite de la ligne de tram b permettant de rejoindre le campus et d une echangeur avec l a autoroute urbaine elle possede un gardien une laverie le studio est au eme etage avec ascenseur et dispose d une place de stationnement en sou sol il possede une kitchenette salle d eau avec wc investissement ideal avec loyer garanti par bail commercial efficity societe par actions simplifiee au capital de euros carte professionnelle cpi delivree par la prefecture de police de paris siege avenue de villiers paris garantie financiere cegc pour un montant de euros rcs paris frederic vergez agent commercial du reseau immobilier efficity est inscrit au rsac de grenoble ndeg ref annonce ,67000.0,18.0,,1.0,45.194349,5.7106734,Grenoble,15869.0,41640.0,380185.0,Berriat-Ampere,252,63650.0,70350.0,17.099999999999998,18.900000000000002,0.0,2.0,[],0
152658935,38400,Saint Martin d Heres,380421.0,secteur parc jo blanchon au calme et proche transport tram et bus appartement duplex comprenant hall sejour avec acces terrasse exposee ouest cuisine wc a l etage grande mezzanine chambres bureau salle d eau et wc separe cet appartement est equipe d un chauffage individuel au gaz de ville vendu avec garage les facades de la copropriete ont ete fraichement refaites a visiter en exclusivite avec votre agence orpi euros honoraires a la charge du vendeur ,199000.0,99.0,,6.0,45.173628,5.756697,Saint-Martin-d'Hères,16096.0,41688.0,380421.0,Renaudie-La Plaine,252,189050.0,208950.0,94.05,103.95,5.0,7.0,[151928147],1
154028629,38130,Échirolles,380151.0,iad france eliane ibarra vous propose de decouvrir en exclusivite un bel appartement recent de type dans residence recherchee il se compose d une grande piece de vie et d une cuisine semi ouverte entierement equipee et de qualite un espace nuit dessert chambres avec placard une salle de bain une salle d eau wc il se situe au eme etage avec ascenseur ses plus une terrasse de m environ un balcon de m environ avec une vue imprenable sur la belledonne la chartreuse et le vercors le secteur aucun travaux a prevoir contactez moi pour organiser votre visite la presente annonce immobiliere vise lot principal situe dans une copropriete formant lots au total ne faisant l objet d aucune procedure en cours et d un montant de charges d environ euros par mois soit euros annuel declare par le vendeur honoraires d agence a la charge du vendeur information d affichage energetique sur ce bien dpe b indice et ges c indice la presente annonce immobiliere a ete redigee sous la responsabilite editoriale de mme eliane ibarra id agent commercial mandataire en immobilier immatricule au registre special des agents commerciaux rsac du tribunal de commerce de grenoble sous le numero ,275000.0,97.0,2006.0,5.0,45.145289,5.7208190000000005,Échirolles,15838.0,41622.0,380151.0,Frange Verte-Commanderie,252,261250.0,288750.0,92.14999999999999,101.85000000000001,4.0,6.0,[153114381],1
154693437,38950,Saint-Martin-le-Vinoux,380423.0,iad france diane cohade vous propose exclusivite st martin le vinoux venez decouvrir cet appartement lumineux il se compose d une entree avec grands placards un sejour avec cuisine ouverte amenagee et equipee donnant sur un balcon chambres une salle d eau un toilette separe une cave double vitrage chauffage collectif commerces et transports a proximite contactez moi pour organiser votre visite la presente annonce immobiliere vise lot principal situe dans une copropriete formant lots au total ne faisant l objet d aucune procedure en cours et d un montant de charges d environ euros par mois soit euros annuel declare par le vendeur honoraires d agence a la charge du vendeur information d affichage energetique sur ce bien dpe c indice et ges d indice la presente annonce immobiliere a ete redigee sous la responsabilite editoriale de mme diane cohade id agent commercial mandataire en immobilier immatricule au registre special des agents commerciaux rsac du tribunal de commerce de grenoble sous le numero ,135000.0,68.0,,4.0,45.216072,5.695821,Saint-Martin-le-Vinoux,16098.0,41694.0,380423.0,Nord Est,252,128250.0,141750.0,64.6,71.4,3.0,5.0,"[152080355, 149167845, 151856983, 151966485, 152913115, 151481785, 154181685, 152458815, 145064175, 143129747, 147656643, 151811243, 150783367, 152508243, 145607233, 152025241, 153329461, 154181535, 154104541, 154560939, 150603623, 154104375, 153775825, 152288299, 129373595, 147404291, 154767427, 154104551, 150571851, 154171813, 151464125]",31
151226527,38400,Saint-Martin-d'Hères,380421.0,saint martin d heres appartement chambre d environ m prix euros charges vendeur attractive et florissante cette perle de l agglomeration grenobloise a le vent en poupe et affiche une croissance de de sa population entre et profitant d un reseau de transports dense d un fort dynamisme commercial et de la proximite de grenoble l ecoquartier daudet seduit les jeunes actifs et les familles en quete d un art de vivre innovant et convivial l achat d un appartement a saint martin d heres vous garantit un placement solide et facile a louer beneficiez d une remise speciale jusqu au octobre contactez meziane hamadene agissant sous le statut d agent commercial aupres de la sas proprietes privees ou par courriel a rsac mandat ref eur sas proprietes privees allee des cinq continents zac le chene ferre batiment c vertou ,171000.0,40.8,,2.0,45.177456799999995,5.767871700000001,Saint-Martin-d'Hères,16096.0,41691.0,380421.0,Le Murier-La Galochère,252,162450.0,179550.0,38.76,42.839999999999996,1.0,3.0,[],0
145938611,38000,Grenoble,380185.0,grenoble proximite foch a m du tram c et a m a pied des quartiers aigle championnet residence collee a l hotel mercure tres bon standing avec gardien et services beau pieces kitch equipee au deuxieme etage avec ascenseur compose d un sejour donnant sur une terrasse de m d une chambre separee avec placards salle de bains avec seche serviette etc parking avec telecommande entierement meuble avec bz meuble tv et rangements tv philips dans le sejour lit et sommiers bultex quasi neuf eau froide comprise dans les charges chauffage individuel electrique tres bon etat dpe d charges de copro euros an vendue loue euros cc contact pascal vazquez agent commercial contact pascal vazquez agent commercial ,106000.0,30.0,1998.0,2.0,45.189789000000005,5.727958,Grenoble,15869.0,48574.0,380185.0,Centre-ville - Victor Hugo,252,100700.0,111300.0,28.5,31.5,1.0,3.0,[],0
153731933,38000,Grenoble,380185.0,iad france colette bonnemaison vous propose grenoble secteur lycee des eaux claires beau et grand t de m environ avec balcon cave vue degagee ascenseur possibilite garage en sus bel appartement traversant spacieux lumineux et bien entretenu en etage eleve avec une vue degagee sur le vercors il se compose d une cuisine amenagee et equipee agrementee d une loggia fermee de chambres et d un sejour avec parquet d un balcon et d une belle vue sur le vercors tres bien situe il se trouve dans un quartier calme et a proximite immediate des trams c et e des commerces des ecoles possibilite d amenagement et d ouverture de la cuisine sur la piece de vie je serai ravie de vous le faire visiter rapidement la presente annonce immobiliere vise lot principal situe dans une copropriete formant lots au total ne faisant l objet d aucune procedure en cours et d un montant de charges d environ euros par mois soit euros annuel declare par le vendeur honoraires d agence a la charge du vendeur information d affichage energetique sur ce bien dpe vi indice et ges vi indice la presente annonce immobiliere a ete redigee sous la responsabilite editoriale de mlle colette bonnemaison id agent commercial mandataire en immobilier immatricule au registre special des agents commerciaux rsac du tribunal de commerce de grenoble sous le numero ,228000.0,80.0,1949.0,3.0,45.179021999999996,5.715199,Grenoble,15869.0,41642.0,380185.0,Abry,252,216600.0,239400.0,76.0,84.0,2.0,4.0,"[153683163, 151131015, 154580115, 154210349, 151522923, 153329467, 154104967, 154105961]",8
